Time (s),Target Pitch (deg),Actual Pitch (deg),Error (deg),Control (deg)
0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.012566,0.000000,0.012566,2.519470
0.002000,0.025133,0.000002,0.025131,2.525509
0.003000,0.037699,0.000005,0.037694,2.531437
0.004000,0.050265,0.000011,0.050254,2.537248
0.005000,0.062831,0.000020,0.062812,2.542937
0.006000,0.075398,0.000032,0.075366,2.548503
0.007000,0.087963,0.000048,0.087915,2.553945
0.008000,0.100529,0.000069,0.100460,2.559261
0.009000,0.113095,0.000095,0.113000,2.564450
0.010000,0.125660,0.000127,0.125533,2.569511
0.011000,0.138226,0.000166,0.138060,2.574443
0.012000,0.150791,0.000212,0.150579,2.579246
0.013000,0.163356,0.000265,0.163090,2.583921
0.014000,0.175920,0.000327,0.175593,2.588465
0.015000,0.188484,0.000398,0.188087,2.592880
0.016000,0.201048,0.000478,0.200570,2.597163
0.017000,0.213612,0.000569,0.213043,2.601318
0.018000,0.226175,0.000670,0.225505,2.605335
0.019000,0.238738,0.000783,0.237955,2.609229
0.020000,0.251301,0.000908,0.250393,2.612985
0.021000,0.263863,0.001046,0.262817,2.616610
0.022000,0.276425,0.001197,0.275228,2.620112
0.023000,0.288986,0.001362,0.287625,2.623463
0.024000,0.301547,0.001541,0.300006,2.626703
0.025000,0.314108,0.001735,0.312372,2.629797
0.026000,0.326668,0.001945,0.324722,2.632759
0.027000,0.339227,0.002172,0.337055,2.635592
0.028000,0.351786,0.002415,0.349370,2.638288
0.029000,0.364344,0.002676,0.361668,2.640846
0.030000,0.376902,0.002955,0.373946,2.643291
0.031000,0.389459,0.003253,0.386206,2.645591
0.032000,0.402015,0.003570,0.398445,2.647747
0.033000,0.414571,0.003907,0.410664,2.649788
0.034000,0.427127,0.004265,0.422862,2.651702
0.035000,0.439681,0.004644,0.435037,2.653439
0.036000,0.452235,0.005045,0.447190,2.655079
0.037000,0.464788,0.005467,0.459321,2.656593
0.038000,0.477341,0.005913,0.471427,2.657962
0.039000,0.489892,0.006383,0.483510,2.659193
0.040000,0.502443,0.006876,0.495567,2.660290
0.041000,0.514993,0.007394,0.507599,2.661254
0.042000,0.527543,0.007938,0.519605,2.662088
0.043000,0.540091,0.008507,0.531584,2.662806
0.044000,0.552639,0.009103,0.543536,2.663407
0.045000,0.565185,0.009725,0.555460,2.663802
0.046000,0.577731,0.010376,0.567355,2.664077
0.047000,0.590276,0.011054,0.579222,2.664312
0.048000,0.602820,0.011762,0.591058,2.664346
0.049000,0.615363,0.012499,0.602865,2.664184
0.050000,0.627905,0.013265,0.614641,2.664085
0.051000,0.640446,0.014062,0.626384,2.663595
0.052000,0.652986,0.014890,0.638097,2.663244
0.053000,0.665525,0.015750,0.649776,2.662483
0.054000,0.678063,0.016641,0.661423,2.661892
0.055000,0.690600,0.017566,0.673035,2.660843
0.056000,0.703136,0.018523,0.684613,2.659983
0.057000,0.715671,0.019514,0.696156,2.658805
0.058000,0.728204,0.020540,0.707664,2.657427
0.059000,0.740737,0.021601,0.719136,2.656192
0.060000,0.753268,0.022697,0.730571,2.654621
0.061000,0.765798,0.023829,0.741969,2.652819
0.062000,0.778327,0.024998,0.753329,2.651162
0.063000,0.790855,0.026203,0.764652,2.649307
0.064000,0.803381,0.027446,0.775935,2.647223
0.065000,0.815906,0.028727,0.787179,2.644944
0.066000,0.828430,0.030048,0.798382,2.642636
0.067000,0.840952,0.031406,0.809546,2.640298
0.068000,0.853474,0.032805,0.820669,2.637785
0.069000,0.865993,0.034243,0.831750,2.635113
0.070000,0.878512,0.035723,0.842789,2.632299
0.071000,0.891029,0.037243,0.853786,2.629353
0.072000,0.903545,0.038805,0.864739,2.626283
0.073000,0.916059,0.040410,0.875649,2.623092
0.074000,0.928572,0.042057,0.886515,2.619784
0.075000,0.941083,0.043747,0.897336,2.616357
0.076000,0.953593,0.045481,0.908112,2.612808
0.077000,0.966101,0.047260,0.918842,2.609142
0.078000,0.978608,0.049082,0.929526,2.605430
0.079000,0.991113,0.050948,0.940165,2.601674
0.080000,1.003617,0.052860,0.950758,2.597874
0.081000,1.016119,0.054815,0.961304,2.594030
0.082000,1.028620,0.056815,0.971805,2.590142
0.083000,1.041119,0.058860,0.982259,2.586211
0.084000,1.053616,0.060949,0.992667,2.582236
0.085000,1.066112,0.063084,1.003028,2.578217
0.086000,1.078605,0.065263,1.013343,2.574155
0.087000,1.091098,0.067487,1.023611,2.570050
0.088000,1.103588,0.069756,1.033832,2.565902
0.089000,1.116077,0.072071,1.044006,2.561711
0.090000,1.128564,0.074431,1.054133,2.557476
0.091000,1.141049,0.076836,1.064213,2.553199
0.092000,1.153532,0.079286,1.074246,2.548880
0.093000,1.166014,0.081782,1.084232,2.544518
0.094000,1.178494,0.084324,1.094170,2.540113
0.095000,1.190972,0.086911,1.104060,2.535666
0.096000,1.203448,0.089544,1.113904,2.531177
0.097000,1.215922,0.092223,1.123699,2.526646
0.098000,1.228394,0.094947,1.133446,2.522073
0.099000,1.240864,0.097718,1.143146,2.517458
0.100000,1.253332,0.100535,1.152798,2.512801
0.101000,1.265799,0.103397,1.162401,2.508103
0.102000,1.278263,0.106306,1.171957,2.503363
0.103000,1.290725,0.109262,1.181464,2.498582
0.104000,1.303185,0.112263,1.190922,2.493760
