Velocity (m/s),Deflection (deg),Aileron Torque (Nm),Elevator Torque (Nm),Rudder Torque (Nm)
7,-20.00,-0.346244,-0.198892,-0.168625
7,-19.50,-0.337588,-0.193919,-0.164410
7,-19.00,-0.328932,-0.188947,-0.160194
7,-18.50,-0.320276,-0.183975,-0.155979
7,-18.00,-0.311620,-0.179002,-0.151763
7,-17.50,-0.302964,-0.174030,-0.147547
7,-17.00,-0.294308,-0.169058,-0.143332
7,-16.50,-0.285652,-0.164086,-0.139116
7,-16.00,-0.276995,-0.159113,-0.134900
7,-15.50,-0.268339,-0.154141,-0.130685
7,-15.00,-0.259683,-0.149169,-0.126469
7,-14.50,-0.251027,-0.144196,-0.122253
7,-14.00,-0.242371,-0.139224,-0.118038
7,-13.50,-0.233715,-0.134252,-0.113822
7,-13.00,-0.225059,-0.129280,-0.109607
7,-12.50,-0.216403,-0.124307,-0.105391
7,-12.00,-0.207747,-0.119335,-0.101175
7,-11.50,-0.199090,-0.114363,-0.096960
7,-11.00,-0.190434,-0.109390,-0.092744
7,-10.50,-0.181778,-0.104418,-0.088528
7,-10.00,-0.173122,-0.099446,-0.084313
7,-9.50,-0.164466,-0.094474,-0.080097
7,-9.00,-0.155810,-0.089501,-0.075881
7,-8.50,-0.147154,-0.084529,-0.071666
7,-8.00,-0.138498,-0.079557,-0.067450
7,-7.50,-0.129842,-0.074584,-0.063235
7,-7.00,-0.121186,-0.069612,-0.059019
7,-6.50,-0.112529,-0.064640,-0.054803
7,-6.00,-0.103873,-0.059667,-0.050588
7,-5.50,-0.095217,-0.054695,-0.046372
7,-5.00,-0.086561,-0.049723,-0.042156
7,-4.50,-0.077905,-0.044751,-0.037941
7,-4.00,-0.069249,-0.039778,-0.033725
7,-3.50,-0.060593,-0.034806,-0.029509
7,-3.00,-0.051937,-0.029834,-0.025294
7,-2.50,-0.043281,-0.024861,-0.021078
7,-2.00,-0.034624,-0.019889,-0.016863
7,-1.50,-0.025968,-0.014917,-0.012647
7,-1.00,-0.017312,-0.009945,-0.008431
7,-0.50,-0.008656,-0.004972,-0.004216
7,0.00,0.000000,0.000000,0.000000
7,0.50,0.008656,0.004972,0.004216
7,1.00,0.017312,0.009945,0.008431
7,1.50,0.025968,0.014917,0.012647
7,2.00,0.034624,0.019889,0.016863
7,2.50,0.043281,0.024861,0.021078
7,3.00,0.051937,0.029834,0.025294
7,3.50,0.060593,0.034806,0.029509
7,4.00,0.069249,0.039778,0.033725
7,4.50,0.077905,0.044751,0.037941
7,5.00,0.086561,0.049723,0.042156
7,5.50,0.095217,0.054695,0.046372
7,6.00,0.103873,0.059667,0.050588
7,6.50,0.112529,0.064640,0.054803
7,7.00,0.121186,0.069612,0.059019
7,7.50,0.129842,0.074584,0.063235
7,8.00,0.138498,0.079557,0.067450
7,8.50,0.147154,0.084529,0.071666
7,9.00,0.155810,0.089501,0.075881
7,9.50,0.164466,0.094474,0.080097
7,10.00,0.173122,0.099446,0.084313
7,10.50,0.181778,0.104418,0.088528
7,11.00,0.190434,0.109390,0.092744
7,11.50,0.199090,0.114363,0.096960
7,12.00,0.207747,0.119335,0.101175
7,12.50,0.216403,0.124307,0.105391
7,13.00,0.225059,0.129280,0.109607
7,13.50,0.233715,0.134252,0.113822
7,14.00,0.242371,0.139224,0.118038
7,14.50,0.251027,0.144196,0.122253
7,15.00,0.259683,0.149169,0.126469
7,15.50,0.268339,0.154141,0.130685
7,16.00,0.276995,0.159113,0.134900
7,16.50,0.285652,0.164086,0.139116
7,17.00,0.294308,0.169058,0.143332
7,17.50,0.302964,0.174030,0.147547
7,18.00,0.311620,0.179002,0.151763
7,18.50,0.320276,0.183975,0.155979
7,19.00,0.328932,0.188947,0.160194
7,19.50,0.337588,0.193919,0.164410
7,20.00,0.346244,0.198892,0.168625
10,-20.00,-0.706621,-0.405901,-0.344134
10,-19.50,-0.688955,-0.395754,-0.335530
10,-19.00,-0.671290,-0.385606,-0.326927
10,-18.50,-0.653624,-0.375459,-0.318324
10,-18.00,-0.635959,-0.365311,-0.309720
10,-17.50,-0.618293,-0.355164,-0.301117
10,-17.00,-0.600628,-0.345016,-0.292514
10,-16.50,-0.582962,-0.334868,-0.283910
10,-16.00,-0.565297,-0.324721,-0.275307
10,-15.50,-0.547631,-0.314573,-0.266704
10,-15.00,-0.529966,-0.304426,-0.258100
10,-14.50,-0.512300,-0.294278,-0.249497
10,-14.00,-0.494635,-0.284131,-0.240894
10,-13.50,-0.476969,-0.273983,-0.232290
10,-13.00,-0.459304,-0.263836,-0.223687
10,-12.50,-0.441638,-0.253688,-0.215084
10,-12.00,-0.423973,-0.243541,-0.206480
10,-11.50,-0.406307,-0.233393,-0.197877
10,-11.00,-0.388642,-0.223246,-0.189273
10,-10.50,-0.370976,-0.213098,-0.180670
10,-10.00,-0.353311,-0.202951,-0.172067
10,-9.50,-0.335645,-0.192803,-0.163463
10,-9.00,-0.317979,-0.182656,-0.154860
10,-8.50,-0.300314,-0.172508,-0.146257
10,-8.00,-0.282648,-0.162360,-0.137653
10,-7.50,-0.264983,-0.152213,-0.129050
10,-7.00,-0.247317,-0.142065,-0.120447
10,-6.50,-0.229652,-0.131918,-0.111843
10,-6.00,-0.211986,-0.121770,-0.103240
10,-5.50,-0.194321,-0.111623,-0.094637
10,-5.00,-0.176655,-0.101475,-0.086033
10,-4.50,-0.158990,-0.091328,-0.077430
10,-4.00,-0.141324,-0.081180,-0.068827
10,-3.50,-0.123659,-0.071033,-0.060223
10,-3.00,-0.105993,-0.060885,-0.051620
10,-2.50,-0.088328,-0.050738,-0.043017
10,-2.00,-0.070662,-0.040590,-0.034413
10,-1.50,-0.052997,-0.030443,-0.025810
10,-1.00,-0.035331,-0.020295,-0.017207
10,-0.50,-0.017666,-0.010148,-0.008603
10,0.00,0.000000,0.000000,0.000000
10,0.50,0.017666,0.010148,0.008603
10,1.00,0.035331,0.020295,0.017207
10,1.50,0.052997,0.030443,0.025810
10,2.00,0.070662,0.040590,0.034413
10,2.50,0.088328,0.050738,0.043017
10,3.00,0.105993,0.060885,0.051620
10,3.50,0.123659,0.071033,0.060223
10,4.00,0.141324,0.081180,0.068827
10,4.50,0.158990,0.091328,0.077430
10,5.00,0.176655,0.101475,0.086033
10,5.50,0.194321,0.111623,0.094637
10,6.00,0.211986,0.121770,0.103240
10,6.50,0.229652,0.131918,0.111843
10,7.00,0.247317,0.142065,0.120447
10,7.50,0.264983,0.152213,0.129050
10,8.00,0.282648,0.162360,0.137653
10,8.50,0.300314,0.172508,0.146257
10,9.00,0.317979,0.182656,0.154860
10,9.50,0.335645,0.192803,0.163463
10,10.00,0.353311,0.202951,0.172067
